message;severity;node;stamp;location
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.768124907";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178248.045 for reason 'Unknown'";"20";"rviz";"1702178248.752971396";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.748163449";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.728793453";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.988 for reason 'Unknown'";"20";"rviz";"1702178248.721714066";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.708868234";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.975 for reason 'Unknown'";"20";"rviz";"1702178248.689622366";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.688194438";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Subscribing to topics	2";"20";"laserscan_multi_merger";"1702178248.684208205";"/home/nuc-bs/ros2_ws/src/lidar/laserscan_multi_merger/src/LaserscanMerger.cpp:laserscan_topic_parser:131"
"Timed out waiting for transform from base_link to map to become available, tf error: Invalid frame ID \"map\" passed to canTransform argument target_frame - frame does not exist";"20";"local_costmap.local_costmap";"1702178248.674530032";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_costmap_2d/src/costmap_2d_ros.cpp:on_activate:209"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.668067602";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.919 for reason 'Unknown'";"20";"rviz";"1702178248.657146250";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.648916594";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.628881612";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.905 for reason 'Unknown'";"20";"rviz";"1702178248.625689593";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.608833232";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.849 for reason 'Unknown'";"20";"rviz";"1702178248.593698448";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.588830085";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.568376166";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.836 for reason 'Unknown'";"20";"rviz";"1702178248.561349858";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.548881574";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.528076722";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.508073358";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.779 for reason 'Unknown'";"20";"rviz";"1702178248.497217161";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.766 for reason 'Unknown'";"20";"rviz";"1702178248.497013396";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.488106399";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.468170510";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.448118078";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.711 for reason 'Unknown'";"20";"rviz";"1702178248.433152782";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.696 for reason 'Unknown'";"20";"rviz";"1702178248.432991809";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.428078527";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.408078188";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.388856174";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.649 for reason 'Unknown'";"20";"rviz";"1702178248.369359164";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.368031010";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.348865185";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.626 for reason 'Unknown'";"20";"rviz";"1702178248.337603892";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.328519346";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.314719743";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.570 for reason 'Unknown'";"20";"rviz";"1702178248.304973473";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.288784079";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.557 for reason 'Unknown'";"20";"rviz";"1702178248.273489633";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.268141096";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.248050293";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.500 for reason 'Unknown'";"20";"rviz";"1702178248.241395331";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.229056897";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.491 for reason 'Unknown'";"20";"rviz";"1702178248.209416657";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
